Date,Furnace_ID_0,Furnace_ID_1,Furnace_ID_2,Furnace_ID_3,Production_Output (tons),Energy_Consumption (kWh),Furnace_Temperature (°C),Annealing_Time (hrs),Downtime (hrs),Ambient_Temperature (°C),Recycled_Content (%),Energy_Rating,Maintenance_Flag,Glass_Thickness (mm),Production_Target (tons),Defects_Percentage (%),Melting_Time (hrs),Cooling_Energy (kWh),Maintenance_Flag_Encoded,Energy_Rating_Encoded,Shift_Afternoon,Shift_Morning,Shift_Night,Furnace_Type_Electric,Furnace_Type_Gas,Furnace_Type_Hybrid,Batch_Type_Borosilicate,Batch_Type_Lead,Batch_Type_Soda-lime,Fuel_Type_Electricity,Fuel_Type_Natural Gas
2023-01-01,0,0,0,1,107.35,3288.96,1468.9,2.33,4.19,16.7,56.0,B,No,9.79,57.77,5.55,21.9,258.78,0,2,False,True,False,True,False,False,True,False,False,False,True
2023-01-01,0,0,1,0,43.51,4867.96,1445.2,3.68,4.74,19.4,39.67263157894737,A,Yes,3.45,126.89,0.48,14.0,707.82,1,1,True,False,False,False,False,True,False,False,True,True,False
2023-01-01,0,0,1,1,37.79,3347.15,1486.8,2.48,2.88,20.6,61.0,B,No,8.35,173.87,2.54,11.9,743.58,0,2,False,False,True,False,True,False,False,True,False,True,False
2023-01-01,0,0,1,1,77.12,2829.63,1626.8,1.9,2.41,22.6,51.0,A,No,10.0,108.02,5.96,11.1,421.0,0,1,True,False,False,False,True,False,False,False,True,False,True
2023-01-01,0,0,1,0,169.49,3935.36,1593.9,3.81,2.615,31.4,39.67263157894737,B,Yes,8.6,77.6,5.547957894736842,12.2,275.03,1,2,False,True,False,True,False,False,False,False,True,False,True
2023-01-01,0,1,0,0,106.57,3319.2,1561.9,2.33,0.86,18.1,29.0,B,Yes,3.84,76.09,8.57,15.2,428.82,1,2,True,False,False,False,False,True,True,False,False,True,False
2023-01-01,0,1,0,1,183.23,2554.46,1593.7,1.75,4.61,27.40147368421053,40.0,C,No,14.82,78.05,2.41,20.0,643.72,0,3,False,False,True,False,True,False,False,True,False,True,False
2023-01-01,0,1,0,0,52.96,2912.66,1613.9,1.96,4.56,29.0,60.0,B,Yes,6.06,44.92,2.66,14.7,923.52,1,2,False,True,False,False,True,False,False,False,True,True,False
2023-01-01,0,0,1,1,67.66,4441.51,1549.255052631579,1.23,2.59,32.4,66.0,A,No,11.19,55.93,4.95,13.5,653.15,0,1,True,False,False,False,True,False,False,True,False,False,True
2023-01-01,0,0,0,1,131.68,2804.954147368421,1433.5,2.08,3.12,22.4,41.0,A,No,3.09,177.69,6.53,11.9,347.93,0,1,False,False,True,True,False,False,True,False,False,False,True
2023-01-01,0,0,1,0,179.26,4919.61,1608.6,1.28,3.86,21.6,39.67263157894737,C,Yes,8.69,195.38,8.72,22.5,868.02,1,3,False,True,False,False,True,False,True,False,False,True,False
